sale_id,house_id,owner_id,sale_date,sale_price,payment_method,loan_amount,down_payment,interest_rate,loan_term_years,agent_id,registration_fee,tax_amount,discount_amount,sale_status
112,H08205,O01958,2022-12-06,25022704,Home Loan,13609302,11413402,6.8,30,A142,250227,1251135,336992,Cancelled
113,H04008,O00354,2020-03-08,37089605,Bank Transfer,14233126,22856479,11.53,15,A143,370896,1854480,229642,Completed
114,H00913,O01613,2022-10-05,25097272,Home Loan,12008412,13088860,10.26,20,A096,250973,1254864,268486,Cancelled
115,H05648,O00639,2024-04-08,22618846,Mortgage,8628492,13990354,8.37,30,A177,226188,1130942,185648,Pending
116,H07181,O01417,2021-02-10,26427773,Cash,10286402,16141371,7.86,25,A054,264278,1321389,395279,Pending
117,H00056,O00872,2024-11-17,48839161,Home Loan,14949939,33889222,9.08,20,A027,488392,2441958,218006,Cancelled
118,H08850,O01921,2023-11-18,7868268,Cash,2999752,4868516,8.65,15,A042,78683,393413,319555,Cancelled
119,H08502,O00258,2024-12-08,21051106,Mortgage,10821844,10229262,7.46,15,A079,210511,1052555,486569,Pending
120,H01052,O01682,2025-06-21,22311835,Mortgage,7588470,14723365,8.07,15,A158,223118,1115592,198439,Pending
121,H04233,O00913,2025-12-31,12181126,Bank Transfer,6489859,5691267,10.22,25,A003,121811,609056,52903,Cancelled
122,H03807,O00363,2022-06-03,46160008,UPI,32869414,13290594,6.77,25,A183,461600,2308000,492707,Pending
123,H09944,O00850,2023-12-12,38946014,UPI,15399939,23546075,9.3,15,A022,389460,1947301,397397,Pending
124,H03048,O00900,2021-10-29,48074956,Bank Transfer,29695711,18379245,9.51,25,A005,480750,2403748,49160,Pending
125,H02435,O00188,2021-06-14,45863729,Mortgage,29435155,16428574,9.81,20,A098,458637,2293186,269293,Cancelled
126,H04319,O01519,2022-02-10,14742365,Cash,7342600,7399765,6.61,25,A151,147424,737118,95481,Completed
127,H09167,O01111,2023-03-08,23663170,Cash,11819849,11843321,11.8,30,A107,236632,1183158,15131,Pending
128,H09224,O00186,2021-09-02,19540852,Home Loan,7677035,11863817,11.5,10,A037,195409,977043,389855,Cancelled
129,H09029,O00993,2021-06-07,3310556,Mortgage,1328468,1982088,11.13,25,A068,33106,165528,255302,Completed
130,H03415,O01136,2025-07-16,18891834,Mortgage,9290638,9601196,10.94,20,A099,188918,944592,246402,Pending
131,H07838,O01651,2023-08-25,37913480,Mortgage,20027846,17885634,10.42,20,A080,379135,1895674,328953,Pending
132,H05893,O01449,2025-03-09,19227595,Bank Transfer,14791353,4436242,10.89,30,A007,192276,961380,263919,Cancelled
133,H02583,O00394,2022-06-22,35372577,Mortgage,24892850,10479727,8.66,30,A014,353726,1768629,288306,Cancelled
134,H05221,O01730,2021-03-17,11166336,Home Loan,7693065,3473271,8.73,20,A115,111663,558317,425656,Completed
135,H03476,O01734,2021-12-17,31481969,UPI,24313314,7168655,7.23,30,A041,314820,1574098,470373,Cancelled
136,H09266,O01762,2022-08-21,24404572,Cash,10081387,14323185,9.51,15,A066,244046,1220229,133968,Cancelled
137,H07432,O01745,2020-11-17,32555640,Bank Transfer,21559041,10996599,10.54,15,A120,325556,1627782,274843,Pending
138,H03839,O00341,2025-03-05,25171238,UPI,12300353,12870885,8.28,15,A194,251712,1258562,495802,Pending
139,H05634,O00767,2024-01-31,41719458,Mortgage,16654131,25065327,7.14,15,A192,417195,2085973,152418,Cancelled
140,H02659,O00990,2021-02-25,31019012,Mortgage,22415906,8603106,9.98,25,A093,310190,1550951,331961,Completed
141,H07801,O01140,2023-10-03,3697065,Bank Transfer,2246512,1450553,7.66,15,A091,36971,184853,166416,Pending
142,H01478,O01992,2024-09-22,43714565,Bank Transfer,13732592,29981973,9.99,15,A157,437146,2185728,51038,Cancelled
143,H02071,O00834,2022-11-24,4561863,UPI,2179207,2382656,9.71,25,A013,45619,228093,34599,Cancelled
144,H03861,O01450,2021-02-15,46419052,Home Loan,28389558,18029494,8.9,15,A044,464191,2320953,380632,Pending
145,H05387,O01704,2023-07-21,26586334,Home Loan,11821838,14764496,10.06,25,A009,265863,1329317,498938,Cancelled
146,H09739,O00923,2024-11-08,32783213,UPI,18709302,14073911,11.26,10,A139,327832,1639161,268676,Cancelled
147,H01622,O00477,2025-01-26,4732443,UPI,2553473,2178970,9.71,20,A153,47324,236622,470153,Completed
148,H00521,O01863,2020-05-16,24887986,Home Loan,8007058,16880928,9.93,25,A049,248880,1244399,86877,Cancelled
149,H00976,O01652,2024-03-09,34403810,Home Loan,16498488,17905322,8.88,30,A150,344038,1720190,200914,Completed
150,H05166,O01828,2021-07-19,29150546,Mortgage,14089564,15060982,11.11,10,A138,291505,1457527,26975,Completed
151,H01686,O00644,2020-08-04,44726527,Bank Transfer,29499343,15227184,9.89,10,A120,447265,2236326,289648,Cancelled
152,H09784,O01144,2024-12-08,19015259,Cash,8314247,10701012,9.7,25,A044,190153,950763,419189,Cancelled
153,H07864,O01268,2020-07-26,25130362,Home Loan,19265708,5864654,7.29,15,A066,251304,1256518,329118,Completed
154,H08227,O00169,2025-07-26,33885691,Cash,18910650,14975041,8.43,25,A102,338857,1694285,218242,Cancelled
155,H05215,O01724,2023-03-04,19739305,Home Loan,13528054,6211251,8.55,20,A165,197393,986965,29005,Pending
156,H00230,O01257,2025-07-24,27409938,Mortgage,17074065,10335873,6.68,30,A169,274099,1370497,286851,Pending
157,H07719,O01012,2023-07-30,24142525,Bank Transfer,10828508,13314017,9.72,15,A035,241425,1207126,393984,Pending
158,H00637,O00144,2021-12-07,18428886,Mortgage,8578242,9850644,8.94,30,A184,184289,921444,461931,Cancelled
159,H03485,O00550,2021-08-26,10208366,Bank Transfer,4805935,5402431,6.64,10,A023,102084,510418,406443,Completed
160,H08913,O01760,2025-07-29,4391098,Bank Transfer,2315954,2075144,7.14,10,A028,43911,219555,123446,Cancelled
161,H02606,O00317,2022-12-14,6558501,Cash,5019306,1539195,8.36,10,A102,65585,327925,286435,Pending
162,H03472,O01805,2022-07-26,32406427,Home Loan,19416380,12990047,11.17,15,A195,324064,1620321,224260,Pending
163,H07317,O00204,2025-01-29,23349723,Home Loan,9011404,14338319,8.66,25,A196,233497,1167486,455978,Cancelled
164,H06984,O00379,2022-09-19,47858531,Mortgage,29081253,18777278,8.22,10,A093,478585,2392927,69410,Cancelled
165,H06781,O01337,2024-07-05,31886579,Cash,9842406,22044173,6.74,25,A097,318866,1594329,222748,Completed
166,H07268,O00761,2024-08-02,46607124,Mortgage,32876279,13730845,8.66,10,A048,466071,2330356,282558,Completed
167,H08117,O00157,2022-04-28,15203585,UPI,7761751,7441834,6.74,10,A109,152036,760179,212265,Pending
168,H04438,O01931,2023-01-25,13212488,Mortgage,9586454,3626034,9.96,20,A002,132125,660624,86628,Pending
169,H03021,O00672,2020-11-13,33962178,UPI,12890839,21071339,7.91,10,A059,339622,1698109,183283,Completed
170,H09847,O00074,2020-10-04,28808048,UPI,9754002,19054046,8.46,20,A157,288080,1440402,38399,Cancelled
171,H05668,O00661,2022-05-06,33724154,Bank Transfer,26384314,7339840,9.7,30,A150,337242,1686208,164894,Cancelled
172,H02746,O00767,2023-02-08,34770815,Mortgage,20968612,13802203,6.99,10,A074,347708,1738541,195132,Pending
173,H03205,O01707,2020-07-22,23134080,Mortgage,14830619,8303461,6.93,15,A194,231341,1156704,392604,Pending
174,H00832,O00944,2022-02-02,16420495,Home Loan,8742893,7677602,7.37,20,A166,164205,821025,188959,Pending
175,H00353,O00478,2020-06-28,13275973,Bank Transfer,4248202,9027771,11.37,30,A043,132760,663799,487104,Pending
176,H09530,O01721,2025-03-12,35702334,Home Loan,15094183,20608151,10.22,20,A064,357023,1785117,264608,Cancelled
177,H05791,O00692,2023-03-21,47264986,Bank Transfer,32409842,14855144,10.29,25,A002,472650,2363249,155504,Pending
178,H08962,O00409,2021-10-05,13082961,UPI,4982015,8100946,8.89,15,A044,130830,654148,191560,Cancelled
179,H06961,O01041,2025-04-14,4316925,Bank Transfer,3084628,1232297,9.94,30,A197,43169,215846,257963,Completed
180,H05622,O01500,2021-05-15,34324934,UPI,24475339,9849595,8.31,20,A078,343249,1716247,233001,Cancelled
181,H04244,O00062,2021-06-30,47460736,Bank Transfer,17988260,29472476,6.52,15,A140,474607,2373037,251279,Completed
182,H06646,O00764,2025-04-12,27095724,Mortgage,15331806,11763918,11.65,10,A178,270957,1354786,31176,Cancelled
183,H06690,O01900,2024-08-13,8272571,Mortgage,6451171,1821400,9.3,20,A120,82726,413629,13768,Pending
184,H08037,O01690,2023-12-24,32429258,Mortgage,13600246,18829012,11.65,25,A094,324293,1621463,20665,Cancelled
185,H02659,O00521,2024-08-07,40990143,Mortgage,31964538,9025605,10.62,15,A151,409901,2049507,459587,Cancelled
186,H06935,O00933,2020-12-06,4760945,Cash,3542141,1218804,11.34,15,A152,47609,238047,355930,Cancelled
187,H04606,O01166,2025-07-05,7184930,UPI,3383160,3801770,8.81,20,A170,71849,359246,263304,Pending
188,H03806,O00537,2021-11-14,23196696,Cash,11531075,11665621,8.33,15,A101,231967,1159835,88048,Pending
189,H08579,O00993,2020-06-21,22445439,Cash,16827600,5617839,10.77,20,A006,224454,1122272,484601,Cancelled
190,H02498,O00214,2024-11-22,15828751,Home Loan,6374730,9454021,8.97,30,A105,158288,791438,364168,Pending
191,H06847,O01140,2021-03-27,21067291,Home Loan,8860372,12206919,8.45,25,A143,210673,1053365,424648,Completed
192,H02570,O00583,2020-04-27,7753237,Mortgage,4996572,2756665,7.31,10,A106,77532,387662,34967,Pending
193,H09513,O00950,2023-06-11,28126467,UPI,19046293,9080174,7.19,30,A033,281265,1406323,432113,Cancelled
194,H03357,O00791,2020-09-30,32342170,Home Loan,19478888,12863282,11.15,25,A066,323422,1617108,466263,Pending
195,H03719,O01976,2020-07-06,29212608,Home Loan,14323449,14889159,9.71,15,A116,292126,1460630,416124,Cancelled
196,H01609,O01960,2021-10-19,36936151,Bank Transfer,11622859,25313292,9.12,20,A134,369362,1846808,97852,Completed
197,H07045,O01385,2023-06-05,9070188,Mortgage,6823888,2246300,11.37,20,A024,90702,453509,334542,Completed
198,H01227,O00451,2026-01-09,44417496,Bank Transfer,18154624,26262872,10.46,30,A076,444175,2220875,441300,Cancelled
199,H07940,O01801,2021-05-09,34890567,Home Loan,11476611,23413956,7.98,15,A183,348906,1744528,361970,Cancelled
200,H03960,O00357,2023-03-16,16764929,Mortgage,9223665,7541264,7.71,20,A154,167649,838246,204692,Pending
201,H07215,O00815,2020-06-16,14390700,Bank Transfer,9545613,4845087,8.57,20,A146,143907,719535,286511,Completed
202,H08693,O00519,2024-06-07,26961175,UPI,20346240,6614935,11.8,20,A192,269612,1348059,473489,Cancelled
203,H06013,O00941,2025-04-05,7240157,Cash,2477807,4762350,8.77,15,A030,72402,362008,467687,Cancelled
204,H07416,O00765,2025-08-12,15839784,UPI,8916060,6923724,9.35,25,A147,158398,791989,269742,Completed
205,H05308,O01917,2024-06-23,33003507,UPI,15004442,17999065,6.6,15,A170,330035,1650175,349849,Completed
206,H03844,O01677,2020-08-05,43225169,Home Loan,33974100,9251069,8.54,15,A053,432252,2161258,60378,Completed
207,H08345,O00372,2025-03-15,22289201,Mortgage,13656430,8632771,10.14,10,A159,222892,1114460,194597,Completed
208,H01884,O00715,2024-05-09,42270910,Home Loan,28346627,13924283,11.48,15,A096,422709,2113546,238852,Cancelled
209,H01013,O00783,2022-02-02,47509071,Cash,19518485,27990586,10.67,15,A155,475091,2375454,157365,Pending
210,H03849,O00152,2025-07-24,17089051,Mortgage,7033865,10055186,11.81,20,A123,170891,854453,8257,Cancelled
211,H03200,O00819,2022-01-08,2657442,Home Loan,1452794,1204648,7.48,30,A007,26574,132872,231304,Pending
212,H05134,O00047,2022-02-25,17273694,UPI,13536582,3737112,7.97,30,A102,172737,863685,60840,Pending
213,H03168,O01431,2025-06-29,20942964,Bank Transfer,6381413,14561551,9.48,30,A142,209430,1047148,354701,Cancelled
214,H05335,O00775,2023-04-15,18455707,Mortgage,10239021,8216686,8.27,25,A177,184557,922785,227710,Cancelled
215,H08306,O01124,2024-08-19,6601782,Cash,4029769,2572013,11.95,10,A148,66018,330089,418239,Cancelled
216,H08867,O00412,2023-12-30,5689591,Home Loan,2952894,2736697,8.81,25,A185,56896,284480,479881,Pending
217,H06229,O01314,2025-09-16,49423975,Home Loan,25592909,23831066,11.41,10,A113,494240,2471199,211298,Completed
218,H03727,O00319,2024-08-15,45516819,Mortgage,27526225,17990594,8.1,15,A006,455168,2275841,213471,Pending
219,H05498,O01488,2023-09-03,5775400,Home Loan,2131646,3643754,9.08,10,A105,57754,288770,14899,Completed
220,H02481,O00934,2022-05-21,30031832,Home Loan,15412809,14619023,8.31,25,A114,300318,1501592,216606,Cancelled
221,H05887,O01830,2020-05-22,26679677,Mortgage,8776860,17902817,10.07,10,A188,266797,1333984,51412,Pending
222,H04983,O01588,2021-11-02,11158397,Mortgage,4907176,6251221,9.25,25,A027,111584,557920,486836,Pending
223,H02658,O01595,2024-02-26,25443146,Mortgage,19235985,6207161,10.23,10,A150,254431,1272157,295876,Cancelled
224,H09244,O01845,2020-08-02,7811985,Home Loan,4382003,3429982,8.9,25,A146,78120,390599,251521,Pending
225,H04483,O01986,2021-12-04,39276223,Home Loan,12303121,26973102,11.84,25,A047,392762,1963811,275857,Cancelled
226,H08025,O01095,2021-12-21,31392270,Mortgage,22726939,8665331,10.36,15,A040,313923,1569614,353387,Cancelled
227,H00286,O00070,2021-01-10,32706463,Mortgage,11587952,21118511,8.15,10,A098,327065,1635323,73995,Completed
228,H01230,O01069,2024-11-28,40765351,UPI,30486867,10278484,7.23,25,A081,407654,2038268,252190,Completed
229,H07468,O01033,2023-03-09,26003934,Mortgage,12328203,13675731,8.3,25,A080,260039,1300197,475816,Completed
230,H06573,O01403,2022-03-14,7022821,Home Loan,5517552,1505269,11.69,25,A159,70228,351141,237905,Completed
231,H00192,O01866,2020-08-15,14312321,Bank Transfer,11333896,2978425,7.44,30,A152,143123,715616,161114,Cancelled
232,H05756,O00329,2023-08-15,6478559,Mortgage,2565875,3912684,10.46,15,A105,64786,323928,124158,Completed
233,H09611,O01624,2022-10-12,7471876,Cash,4498405,2973471,11.94,30,A138,74719,373594,391567,Pending
234,H06417,O00938,2024-11-20,8205247,Cash,4063288,4141959,11.26,25,A111,82052,410262,3858,Completed
235,H00473,O00013,2025-03-04,8556445,Mortgage,4541800,4014645,8.22,25,A168,85564,427822,209689,Pending
236,H05885,O01642,2020-12-12,47183022,Home Loan,22112309,25070713,7.05,30,A075,471830,2359151,168072,Pending
237,H02487,O01967,2023-05-10,31270392,Home Loan,16668124,14602268,10.24,10,A073,312704,1563520,376362,Pending
238,H00272,O01147,2025-11-28,3134212,Home Loan,1890338,1243874,11.44,30,A020,31342,156711,454881,Completed
