house_id,location_id,builder_id,property_type_id,listing_date,area_sqft,bedrooms,bathrooms,balcony_count,parking_spaces,floor_number,total_floors,furnishing_status,property_age,facing_direction,price,sale_status
111,L066,B037,PT007,11/7/2025,885,1,2,2,0,11,14,Furnished,0,South-West,9964970,Reserved
112,L096,B020,PT003,2/9/2024,3214,5,5,1,0,26,11,Unfurnished,1,North,35821521,Available
113,L029,B025,PT007,10/26/2024,2982,4,5,1,4,13,36,Semi-Furnished,5,West,27881392,Available
114,L017,B019,PT003,3/25/2024,4644,6,5,1,1,10,22,Furnished,20,East,45007747,Sold
115,L040,B035,PT002,4/16/2025,762,1,2,4,4,21,20,Semi-Furnished,8,South-West,7804297,Reserved
116,L079,B012,PT001,4/1/2024,3220,5,4,3,4,32,36,Semi-Furnished,11,North-East,37493570,Reserved
117,L023,B043,PT010,5/7/2024,2077,3,2,2,2,23,6,Semi-Furnished,13,South,25231276,Sold
118,L096,B014,PT007,5/30/2025,1296,2,2,2,3,6,33,Semi-Furnished,10,South-East,14753466,Sold
119,L021,B033,PT005,6/3/2024,1194,1,2,1,1,14,27,Semi-Furnished,20,East,10215904,Available
120,L047,B001,PT004,7/25/2024,2621,4,5,3,1,0,31,Semi-Furnished,4,North-West,19985677,Reserved
121,L030,B002,PT005,10/18/2024,4305,6,5,2,0,17,6,Unfurnished,18,East,61816686,Reserved
122,L067,B037,PT007,7/20/2024,1586,2,1,3,3,32,24,Unfurnished,15,North-East,11642545,Reserved
123,L001,B031,PT010,1/28/2024,1179,1,2,2,2,6,27,Furnished,11,South,12205909,Sold
124,L063,B034,PT005,10/7/2025,2282,3,3,3,1,30,5,Unfurnished,15,North-West,22878594,Sold
125,L094,B010,PT003,10/11/2025,713,1,1,3,1,25,2,Semi-Furnished,9,North-East,5873805,Sold
126,L039,B020,PT005,7/15/2024,2006,3,3,1,2,12,27,Unfurnished,11,North-West,20510989,Sold
127,L091,B041,PT002,9/11/2024,1792,2,1,1,2,9,8,Furnished,7,West,23658487,Available
128,L031,B021,PT002,10/5/2025,1205,2,1,3,1,14,13,Furnished,16,North-West,18463343,Reserved
129,L094,B044,PT010,1/23/2024,1346,2,2,4,3,21,33,Furnished,5,West,18400172,Available
130,L099,B037,PT010,10/23/2025,2622,4,3,3,2,8,26,Unfurnished,6,West,33472108,Reserved
131,L018,B017,PT005,3/13/2025,4230,6,5,4,0,6,18,Semi-Furnished,2,South-West,36047796,Sold
132,L016,B035,PT008,4/25/2025,2817,4,5,3,4,1,5,Furnished,15,South,40652226,Sold
133,L082,B015,PT003,9/30/2025,770,1,1,2,1,1,33,Unfurnished,16,East,6811889,Sold
134,L030,B046,PT010,3/15/2024,4471,6,5,3,2,21,26,Unfurnished,17,West,34792566,Reserved
135,L063,B003,PT001,4/7/2025,1631,2,3,4,2,22,12,Furnished,1,South-West,11143937,Sold
136,L043,B025,PT001,5/8/2024,4207,6,5,2,2,19,32,Unfurnished,13,North-West,45558896,Sold
137,L071,B027,PT001,9/2/2024,2764,4,4,1,1,9,3,Semi-Furnished,4,South-West,33625567,Reserved
138,L036,B008,PT005,1/24/2025,2017,3,3,1,2,32,11,Semi-Furnished,16,North-West,23275381,Available
139,L011,B034,PT005,1/7/2024,1882,3,3,2,2,3,2,Furnished,10,North-West,28475727,Reserved
140,L072,B021,PT010,6/23/2025,1014,1,1,4,0,3,29,Furnished,12,South,9664894,Available
141,L035,B039,PT006,6/8/2025,848,1,1,4,4,15,24,Unfurnished,14,North-East,8685042,Sold
142,L037,B033,PT003,10/26/2025,894,1,1,3,1,31,13,Semi-Furnished,18,West,9952374,Reserved
143,L081,B029,PT005,3/7/2025,3591,5,4,2,2,28,2,Semi-Furnished,20,South-East,32201156,Available
144,L020,B036,PT005,9/30/2025,2123,3,2,4,0,26,35,Unfurnished,7,South,21270058,Reserved
145,L069,B003,PT005,7/16/2024,2288,3,3,2,1,3,29,Unfurnished,11,North-East,28052548,Sold
146,L073,B035,PT007,2/19/2025,1058,1,2,1,1,18,7,Furnished,6,South-West,6846769,Sold
147,L078,B026,PT002,12/24/2024,886,1,2,3,4,27,27,Furnished,8,East,5105454,Reserved
148,L058,B050,PT009,1/23/2025,1748,2,2,4,4,35,23,Furnished,10,South-East,20315313,Available
149,L002,B027,PT004,9/20/2025,1125,1,2,2,1,15,8,Furnished,19,West,13140559,Reserved
150,L090,B029,PT003,4/14/2025,2134,3,4,2,2,25,14,Semi-Furnished,17,South-East,29471894,Reserved
151,L057,B038,PT007,10/4/2024,1885,3,3,4,3,4,10,Semi-Furnished,3,North-West,28891458,Sold
152,L009,B044,PT005,12/25/2025,4347,6,5,4,3,32,33,Unfurnished,17,South-East,67183434,Reserved
153,L032,B001,PT007,2/24/2025,3383,5,5,1,2,2,23,Furnished,9,North-East,27829889,Sold
154,L072,B001,PT003,12/6/2024,4191,6,5,3,4,9,11,Semi-Furnished,17,South-East,36323789,Sold
155,L017,B041,PT006,6/4/2025,3228,5,4,3,3,21,19,Unfurnished,16,North-West,43774500,Available
156,L098,B029,PT007,6/16/2024,997,1,2,3,1,14,37,Furnished,10,South,10108391,Sold
157,L098,B006,PT007,11/24/2025,1996,3,2,1,2,26,21,Unfurnished,14,South-East,29738584,Reserved
158,L070,B043,PT002,12/14/2024,1722,2,3,1,1,11,34,Unfurnished,12,South,15225668,Sold
159,L086,B002,PT003,7/2/2025,812,1,1,2,0,11,37,Furnished,1,South-West,8604438,Reserved
160,L018,B008,PT005,3/1/2024,2069,3,4,2,0,29,39,Semi-Furnished,6,South-West,26431957,Sold
161,L028,B013,PT008,11/16/2024,1841,3,4,3,1,11,11,Unfurnished,7,South,19237320,Available
162,L020,B015,PT001,6/8/2025,3946,6,5,3,1,32,19,Semi-Furnished,12,North-West,44943235,Available
163,L062,B017,PT005,1/29/2024,1703,2,1,3,0,26,16,Furnished,12,East,24582717,Available
164,L018,B013,PT007,4/18/2024,3043,5,4,4,4,2,36,Semi-Furnished,3,North-East,38366274,Sold
165,L070,B046,PT010,3/23/2024,3490,5,5,1,4,16,25,Semi-Furnished,20,South-West,38595938,Sold
166,L100,B017,PT006,2/16/2025,2649,4,3,1,1,8,34,Furnished,1,North,17679555,Available
167,L074,B016,PT005,3/31/2025,1650,2,1,3,3,0,39,Furnished,1,South-West,15830723,Reserved
168,L012,B030,PT003,11/18/2024,1459,2,3,1,2,27,21,Unfurnished,15,East,14562216,Available
169,L074,B017,PT006,4/27/2025,2206,3,3,2,4,34,19,Unfurnished,8,South-East,29211319,Reserved
170,L029,B038,PT002,6/13/2024,2968,4,4,4,4,24,19,Furnished,4,South-West,32925986,Sold
171,L082,B043,PT006,2/9/2025,4461,6,5,3,0,1,25,Unfurnished,12,West,41375841,Sold
172,L073,B014,PT009,3/19/2024,1006,1,2,1,0,26,10,Furnished,13,North,7503129,Available
173,L059,B027,PT001,10/2/2024,3628,6,5,1,4,14,15,Furnished,5,East,37030975,Reserved
174,L039,B036,PT005,6/20/2025,2289,3,2,4,4,4,30,Unfurnished,5,South-East,26104332,Sold
175,L082,B010,PT005,11/20/2025,2246,3,2,1,0,0,31,Furnished,13,South-East,13244337,Reserved
176,L042,B047,PT004,2/20/2025,1013,1,2,4,0,32,15,Furnished,2,North-East,8813921,Available
177,L019,B031,PT006,10/2/2025,2823,4,3,2,2,4,40,Unfurnished,16,North-West,18795166,Reserved
178,L039,B045,PT003,11/7/2024,1367,2,2,2,0,33,27,Semi-Furnished,18,South,8646554,Available
179,L041,B010,PT006,5/13/2025,3732,6,5,2,1,29,7,Furnished,5,South-East,28034043,Available
180,L031,B041,PT004,7/18/2025,3098,5,4,4,0,12,10,Unfurnished,15,South-East,45840854,Available
181,L062,B017,PT002,9/14/2024,1805,3,4,1,4,18,10,Semi-Furnished,4,East,11681380,Reserved
182,L043,B020,PT010,12/10/2024,4003,6,5,3,3,18,12,Unfurnished,11,South-East,52374952,Sold
183,L052,B036,PT004,10/30/2024,3992,6,5,4,2,22,10,Furnished,6,South-East,52798876,Reserved
184,L042,B025,PT010,6/18/2025,2729,4,4,3,0,2,25,Furnished,3,North-East,14226690,Reserved
185,L035,B031,PT005,9/13/2024,3846,6,5,1,4,12,30,Unfurnished,14,North-East,27926037,Sold
186,L001,B050,PT002,10/4/2025,974,1,2,3,3,2,8,Semi-Furnished,8,North-West,5485609,Sold
187,L009,B016,PT004,3/1/2024,3795,6,5,3,0,17,1,Unfurnished,11,North-West,31128517,Available
188,L006,B015,PT010,4/23/2025,4485,6,5,1,3,34,4,Semi-Furnished,12,South,61258509,Reserved
189,L058,B047,PT003,4/19/2025,3161,5,4,4,1,19,33,Furnished,12,South-East,24345990,Reserved
190,L044,B007,PT010,3/9/2025,4655,6,5,1,0,33,14,Semi-Furnished,11,North-West,65346492,Sold
191,L029,B015,PT010,8/31/2025,876,1,2,4,2,3,33,Semi-Furnished,18,South-West,11122159,Available
192,L094,B014,PT009,10/3/2024,2408,4,3,3,2,0,3,Semi-Furnished,18,South-East,35851405,Reserved
193,L009,B007,PT001,10/21/2024,2331,3,3,1,3,21,28,Semi-Furnished,3,South,17150370,Available
194,L040,B040,PT001,1/27/2024,696,1,2,3,2,21,22,Unfurnished,7,South,5434492,Available
195,L091,B050,PT008,8/18/2024,1114,1,2,4,2,15,35,Unfurnished,20,South-East,16966721,Available
196,L098,B034,PT003,10/26/2024,1931,3,3,1,4,4,12,Furnished,0,South-East,13859605,Reserved
197,L095,B035,PT008,12/30/2024,3502,5,5,1,4,9,36,Unfurnished,2,South-East,23869009,Available
198,L007,B015,PT009,10/2/2025,3418,5,5,3,0,23,3,Unfurnished,9,North-East,24719349,Reserved
199,L007,B005,PT003,6/6/2025,2737,4,4,1,2,2,19,Unfurnished,1,North,42625396,Reserved
200,L090,B046,PT007,3/27/2025,3847,6,5,1,1,32,36,Unfurnished,0,North-West,23601657,Sold
201,L086,B030,PT008,1/7/2024,3061,5,5,4,4,10,15,Furnished,13,South,29546698,Reserved
202,L087,B047,PT008,7/19/2024,4081,6,5,4,2,32,4,Furnished,4,North,55429603,Reserved
203,L040,B009,PT007,6/14/2025,3348,5,4,1,0,14,4,Semi-Furnished,11,North-East,42318550,Reserved
204,L095,B002,PT003,12/14/2025,1991,3,3,2,1,12,10,Semi-Furnished,4,South-West,22558247,Reserved
205,L025,B047,PT003,4/24/2025,2072,3,4,3,1,23,16,Furnished,5,West,21246198,Reserved
206,L070,B041,PT003,5/17/2024,4076,6,5,1,1,28,4,Unfurnished,18,South-East,61597950,Reserved
207,L056,B008,PT009,4/8/2024,4721,6,5,1,2,1,17,Furnished,13,East,52129347,Reserved
208,L019,B031,PT004,3/21/2025,4686,6,5,3,1,11,35,Unfurnished,16,West,57535753,Available
209,L096,B026,PT008,3/20/2024,2225,3,4,3,3,19,3,Furnished,16,South-West,19466382,Reserved
210,L058,B011,PT006,10/9/2024,1258,2,2,3,3,30,22,Semi-Furnished,5,West,17708850,Available
211,L081,B002,PT003,6/6/2025,2324,3,2,2,0,35,30,Semi-Furnished,12,North,13344864,Available
212,L067,B042,PT006,12/17/2024,1635,2,2,2,0,21,28,Semi-Furnished,15,South-West,8413088,Available
213,L023,B037,PT008,7/4/2024,2823,4,4,3,0,13,7,Semi-Furnished,2,South,20647346,Available
214,L035,B048,PT010,6/18/2025,4427,6,5,4,1,12,19,Semi-Furnished,1,North,64094107,Reserved
215,L076,B024,PT009,5/30/2024,4498,6,5,4,2,32,33,Semi-Furnished,8,North-East,49777359,Available
216,L036,B015,PT005,3/17/2025,3238,5,5,1,1,9,16,Semi-Furnished,18,East,35150895,Sold
217,L091,B035,PT005,8/26/2025,2750,4,4,4,4,12,3,Furnished,5,South-East,41843649,Sold
218,L087,B022,PT006,8/26/2025,4705,6,5,1,2,6,7,Furnished,13,North-East,42487479,Sold
219,L070,B011,PT005,3/10/2025,2282,3,2,1,3,8,22,Furnished,4,North-West,25649714,Sold
220,L050,B005,PT007,10/18/2025,3194,5,4,1,3,12,31,Unfurnished,1,East,28106284,Sold
221,L027,B035,PT009,1/3/2025,1685,2,2,1,2,30,29,Semi-Furnished,20,East,12577038,Available
222,L024,B043,PT004,5/4/2024,1717,2,1,2,4,16,35,Furnished,10,South-West,8985804,Sold
223,L021,B011,PT002,11/19/2024,1575,2,2,1,0,16,17,Unfurnished,2,East,12286547,Reserved
224,L002,B001,PT010,11/23/2025,628,1,2,4,0,9,25,Semi-Furnished,20,West,4203724,Sold
225,L079,B034,PT004,12/29/2025,4159,6,5,4,2,8,29,Furnished,7,North-East,45479117,Sold
226,L035,B011,PT009,5/7/2024,4463,6,5,1,3,33,3,Semi-Furnished,4,East,55489616,Available
227,L081,B016,PT010,11/26/2025,2903,4,4,4,1,33,40,Furnished,19,North-West,28497848,Reserved
228,L037,B017,PT003,1/7/2024,4393,6,5,1,0,10,11,Furnished,6,South-East,33666835,Sold
229,L043,B035,PT002,4/26/2025,3506,5,5,4,2,28,22,Semi-Furnished,13,South-East,39027945,Sold
230,L065,B016,PT006,1/10/2025,1498,2,3,2,3,19,30,Unfurnished,18,North-West,20087383,Available
231,L009,B012,PT005,12/5/2025,620,1,2,2,1,26,23,Unfurnished,8,North-West,4263320,Sold
232,L090,B041,PT003,9/28/2024,1587,2,3,3,2,7,19,Semi-Furnished,8,East,13887085,Available
233,L038,B045,PT010,6/11/2024,1702,2,1,2,3,11,20,Furnished,8,North,10694105,Reserved
234,L041,B047,PT009,9/28/2024,1736,2,1,3,2,29,2,Furnished,2,North-East,24211275,Available
235,L039,B003,PT005,9/1/2025,2955,4,5,1,4,16,33,Furnished,3,North-West,42878543,Reserved
236,L076,B034,PT010,3/12/2025,2833,4,4,4,0,19,8,Furnished,7,South-West,19190314,Reserved
237,L098,B038,PT004,11/5/2024,776,1,2,2,3,27,33,Unfurnished,9,South,5818136,Sold
238,L028,B044,PT001,3/21/2024,2866,4,4,1,3,25,13,Unfurnished,14,South,43124232,Reserved
239,L016,B015,PT001,1/15/2025,4396,6,5,3,4,22,6,Unfurnished,0,North-West,54720539,Sold
240,L088,B046,PT002,1/6/2025,1678,2,2,4,3,35,7,Semi-Furnished,20,South-East,22622940,Reserved
241,L100,B032,PT005,10/18/2024,2345,3,4,4,2,1,32,Unfurnished,13,North-West,19730743,Sold
242,L026,B017,PT005,6/17/2025,1572,2,3,4,4,25,34,Unfurnished,13,North-East,13540467,Reserved
243,L093,B048,PT004,8/7/2025,1548,2,2,1,4,25,27,Furnished,18,North,16479553,Reserved
244,L020,B028,PT005,2/4/2025,4554,6,5,1,0,17,27,Unfurnished,10,North-East,31615817,Reserved
245,L020,B001,PT005,10/17/2024,2974,4,5,3,3,34,15,Unfurnished,7,North-West,35941283,Available
246,L020,B005,PT002,12/25/2025,3406,5,5,1,3,5,1,Semi-Furnished,18,North-East,40626277,Sold
247,L042,B002,PT009,9/24/2025,1218,2,3,2,3,28,14,Semi-Furnished,15,South-West,15482086,Reserved
248,L089,B028,PT004,12/19/2025,3666,6,5,1,4,2,12,Unfurnished,18,North-East,30010495,Sold
249,L022,B023,PT007,5/25/2025,1600,2,3,3,0,10,7,Semi-Furnished,17,West,24614412,Sold
250,L021,B048,PT004,1/3/2024,3921,6,5,2,0,9,22,Semi-Furnished,14,North-West,30678049,Available
251,L021,B022,PT003,6/21/2025,4857,6,5,2,3,25,20,Unfurnished,9,South-West,54207760,Available
252,L088,B040,PT003,2/9/2025,2884,4,5,3,0,25,5,Unfurnished,14,South-West,37012723,Available
253,L030,B024,PT004,11/22/2024,2175,3,3,2,2,25,35,Furnished,1,East,13041056,Available
254,L002,B020,PT006,2/26/2024,4490,6,5,1,3,14,30,Furnished,18,South-West,53564812,Available
255,L074,B043,PT006,4/11/2025,916,1,1,1,3,30,18,Unfurnished,10,West,7424189,Available
